brand_model	model_y	stars	test_date
ab 2014	ab 2014		
5		5	
10/2014			10/2014
MINI Clubman	ab 2015	4	12/2015
ab 2015	ab 2015		
4		4	
12/2015			12/2015
Mitsubishi ASX	ab 2010	5	02/2011
ab 2010	ab 2010		
5		5	
02/2011			02/2011
Mitsubishi Carisma	1999 - 2004	3	08/2001
1999 - 2004	1999 - 2004		
3		3	
08/2001			08/2001
Mitsubishi Colt (ohne Seitenairbag)	2004 - 2013	4	11/2005
2004 - 2013	2004 - 2013		
4		4	
11/2005			11/2005
Mitsubishi i-MiEV	ab 2010	4	02/2011
ab 2010	ab 2010		
4		4	
02/2011			02/2011
Mitsubishi L200	ab 2006	4	02/2008
ab 2006	ab 2006		
4		4	
02/2008			02/2008
Mitsubishi L200	ab 2015	4	09/2015
ab 2015	ab 2015		
4		4	
09/2015			09/2015
Mitsubishi Lancer	ab 2009	5	02/2009
ab 2009	ab 2009		
5		5	
02/2009			02/2009
Mitsubishi Outlander	2007 - 2012	4	02/2007
2007 - 2012	2007 - 2012		
4		4	
02/2007			02/2007
Mitsubishi Outlander	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Mitsubishi Outlander PHEV (Hybrid)	ab 2013	5	11/2013
ab 2013	ab 2013		
5		5	
11/2013			11/2013
Mitsubishi Pajero Pinin	1998 - 2006	3	02/2003
1998 - 2006	1998 - 2006		
3		3	
02/2003			02/2003
Mitsubishi Space Star	1999 - 2006	3	04/2001
1999 - 2006	1999 - 2006		
3		3	
04/2001			04/2001
Mitsubishi Space Star	ab 2013	4	08/2013
ab 2013	ab 2013		
4		4	
08/2013			08/2013
Mitsubishi Space Wagon	1998 - 2005	3	12/2001
1998 - 2005	1998 - 2005		
3		3	
12/2001			12/2001
Nissan Almera	1995 - 2000	1	02/1999
1995 - 2000	1995 - 2000		
1		1	
02/1999			02/1999
Nissan Almera Tino	2000 - 2005	4	04/2001
2000 - 2005	2000 - 2005		
4		4	
04/2001			04/2001
Nissan Cube	2010 - 2011	4	03/2010
2010 - 2011	2010 - 2011		
4		4	
03/2010			03/2010
Nissan e-NV200 Evalia	ab 2014	3	09/2014
ab 2014	ab 2014		
3		3	
09/2014			09/2014
Nissan Evalia	ab 2013	3	05/2013
ab 2013	ab 2013		
3		3	
05/2013			05/2013
Nissan Juke	ab 2011	5	02/2011
ab 2011	ab 2011		
5		5	
02/2011			02/2011
Nissan Leaf	2011 - 2013	5	05/2011
2011 - 2013	2011 - 2013		
5		5	
05/2011			05/2011
Nissan Micra	2010 - 2017	4	11/2010
2010 - 2017	2010 - 2017		
4		4	
11/2010			11/2010
Nissan Note	2006 - 2013	4	07/2006
2006 - 2013	2006 - 2013		
4		4	
07/2006			07/2006
Nissan Note	ab 2013	4	11/2013
ab 2013	ab 2013		
4		4	
11/2013			11/2013
Nissan NP300 Navara	ab 2015	4	12/2015
ab 2015	ab 2015		
4		4	
12/2015			12/2015
Nissan Pathfinder	ab 2005	4	04/2006
ab 2005	ab 2005		
4		4	
04/2006			04/2006
Nissan Primera	2002 - 2007	4	12/2002
2002 - 2007	2002 - 2007		
4		4	
12/2002			12/2002
Nissan Pulsar	ab 2014	5	11/2014
ab 2014	ab 2014		
5		5	
11/2014			11/2014
Nissan Qashqai	ab 2014	5	05/2014
ab 2014	ab 2014		
5		5	
05/2014			05/2014
Nissan Qashqai	2007 - 2014	5	05/2007
2007 - 2014	2007 - 2014		
5		5	
05/2007			05/2007
Nissan Serena	1993 - 2000	3	07/1999
1993 - 2000	1993 - 2000		
3		3	
07/1999			07/1999
Nissan X Trail	ab 2014	5	01/2014
ab 2014	ab 2014		
5		5	
01/2014			01/2014
Nissan X-Trail	2001 - 2007	4	12/2002
2001 - 2007	2001 - 2007		
4		4	
12/2002			12/2002
Nissan X-Trail	2007 - 2014	4	11/2007
2007 - 2014	2007 - 2014		
4		4	
11/2007			11/2007
Opel Adam	ab 2013	4	08/2013
ab 2013	ab 2013		
4		4	
08/2013			08/2013
Opel Ampera	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
Opel Astra	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Opel Astra	2009 - 2015	5	11/2009
2009 - 2015	2009 - 2015		
5		5	
11/2009			11/2009
Opel Astra G	1998 - 2004	4	02/1999
1998 - 2004	1998 - 2004		
4		4	
02/1999			02/1999
Opel Astra GTC	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Opel Astra H	2004 - 2010	5	07/2004
2004 - 2010	2004 - 2010		
5		5	
07/2004			07/2004
Opel Corsa	2006 - 2014	5	07/2006
2006 - 2014	2006 - 2014		
5		5	
07/2006			07/2006
Opel Corsa	ab 2014	4	12/2014
ab 2014	ab 2014		
4		4	
12/2014			12/2014
Opel Corsa C	2000 - 2006	4	07/2002
2000 - 2006	2000 - 2006		
4		4	
07/2002			07/2002
Opel Insignia	2008 - 2013	5	11/2008
2008 - 2013	2008 - 2013		
5		5	
11/2008			11/2008
Opel Karl	ab 2015	4	10/2015
ab 2015	ab 2015		
4		4	
10/2015			10/2015
Opel Meriva	ab 2010	5	11/2010
ab 2010	ab 2010		
5		5	
11/2010			11/2010
Opel Meriva	2003 - 2008	4	02/2003
2003 - 2008	2003 - 2008		
4		4	
02/2003			02/2003
Opel Mokka	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Opel Omega B	1994 - 1999	4	10/1998
1994 - 1999	1994 - 1999		
4		4	
10/1998			10/1998
Opel Signum	2003 - 2008	4	07/2003
2003 - 2008	2003 - 2008		
4		4	
07/2003			07/2003
Opel Sintra	1997 - 2000	2	07/1999
1997 - 2000	1997 - 2000		
2		2	
07/1999			07/1999
Opel Tigra TwinTop	2004 - 2009	4	07/2004
2004 - 2009	2004 - 2009		
4		4	
07/2004			07/2004
Opel Vectra B	1996 - 2002	3	01/2002
1996 - 2002	1996 - 2002		
3		3	
01/2002			01/2002
Opel Vectra C	2002 - 2008	4	07/2002
2002 - 2008	2002 - 2008		
4		4	
07/2002			07/2002
Opel Zafira	1999 - 2005	4	03/2001
1999 - 2005	1999 - 2005		
4		4	
03/2001			03/2001
Opel Zafira	2005 - 2011	5	05/2005
2005 - 2011	2005 - 2011		
5		5	
05/2005			05/2005
Opel Zafira Tourer	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Peugeot 1007	2005 - 2010	5	03/2005
2005 - 2010	2005 - 2010		
5		5	
03/2005			03/2005
Peugeot 2008	ab 2013	5	10/2013
ab 2013	ab 2013		
5		5	
10/2013			10/2013
Peugeot 206	1998 - 2003	4	10/2000
1998 - 2003	1998 - 2003		
4		4	
10/2000			10/2000
Peugeot 207	ab 2006	5	02/2006
ab 2006	ab 2006		
5		5	
02/2006			02/2006
Peugeot 208	ab 2012	5	05/2012
ab 2012	ab 2012		
5		5	
05/2012			05/2012
Peugeot 3008	2009 - 2016	5	05/2009
2009 - 2016	2009 - 2016		
5		5	
05/2009			05/2009
Peugeot 3008 / 5008	ab 2016	5	09/2016
ab 2016	ab 2016		
5		5	
09/2016			09/2016
Peugeot 307	2001 - 2008	4	01/2002
2001 - 2008	2001 - 2008		
4		4	
01/2002			01/2002
Peugeot 307 CC	2003 - 2009	0	07/2003
2003 - 2009	2003 - 2009		
0		0	
07/2003			07/2003
Peugeot 308	ab 2007	5	08/2007
ab 2007	ab 2007		
5		5	
08/2007			08/2007
Peugeot 308	ab 2013	5	11/2013
ab 2013	ab 2013		
5		5	
11/2013			11/2013
Peugeot 308 CC	ab 2008	5	11/2008
ab 2008	ab 2008		
5		5	
11/2008			11/2008
Peugeot 406	1999 - 2004	3	01/2002
1999 - 2004	1999 - 2004		
3		3	
01/2002			01/2002
Peugeot 407	2004 - 2011	5	07/2004
2004 - 2011	2004 - 2011		
5		5	
07/2004			07/2004
Peugeot 407 Coupé	2005 - 2012	5	11/2005
2005 - 2012	2005 - 2012		
5		5	
11/2005			11/2005
Peugeot 5008	ab 2009	5	11/2009
ab 2009	ab 2009		
5		5	
11/2009			11/2009
Peugeot 508	ab 2011	5	05/2011
ab 2011	ab 2011		
5		5	
05/2011			05/2011
Peugeot 607	2000 - 2004	4	07/2002
2000 - 2004	2000 - 2004		
4		4	
07/2002			07/2002
Peugeot iOn	ab 2010	4	02/2011
ab 2010	ab 2010		
4		4	
02/2011			02/2011
Peugeot Traveller	bgl. Citroen Spacetourer, Toyota Proace ab 2016	5	12/2015
bgl. Citroen Spacetourer, Toyota Proace ab 2016	bgl. Citroen Spacetourer, Toyota Proace ab 2016		
5		5	
12/2015			12/2015
Porsche Macan	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
Qoros 3 Sedan	ab 2013	5	08/2013
ab 2013	ab 2013		
5		5	
08/2013			08/2013
Range Rover	2013 - 2012	5	11/2012
2013 - 2012	2013 - 2012		
5		5	
11/2012			11/2012
Renault Captur	ab 2013	5	05/2013
ab 2013	ab 2013		
5		5	
05/2013			05/2013
Renault Clio	ab 2012	5	08/2012
ab 2012	ab 2012		
5		5	
08/2012			08/2012
Renault Clio IV	2005 - 2012	5	06/2005
2005 - 2012	2005 - 2012		
5		5	
06/2005			06/2005
Renault Espace	1997 - 2002	4	07/1999
1997 - 2002	1997 - 2002		
4		4	
07/1999			07/1999
Renault Espace	ab 2015	5	04/2015
ab 2015	ab 2015		
5		5	
04/2015			04/2015
Renault Fluence ZE	ab 2011	4	11/2011
ab 2011	ab 2011		
4		4	
11/2011			11/2011
Renault Grand Espace	2002 - 2012	5	07/2003
2002 - 2012	2002 - 2012		
5		5	
07/2003			07/2003
Renault Grand Scenic	2009 - 2012	5	08/2009
2009 - 2012	2009 - 2012		
5		5	
08/2009			08/2009
Renault Kadjar	ab 2015	5	09/2015
ab 2015	ab 2015		
5		5	
09/2015			09/2015
Renault Kangoo	2008 - 2013	4	02/2008
2008 - 2013	2008 - 2013		
4		4	
02/2008			02/2008
Renault Kangoo	1998 - 2002	4	09/2009
1998 - 2002	1998 - 2002		
4		4	
09/2009			09/2009
Renault Kangoo (bis MJ 08)	2003 - 2008	4	12/2003
2003 - 2008	2003 - 2008		
4		4	
12/2003			12/2003
Renault Koleos	ab 2008	5	08/2008
ab 2008	ab 2008		
5		5	
08/2008			08/2008
Renault Laguna	ab 2007	5	12/2007
ab 2007	ab 2007		
5		5	
12/2007			12/2007
Renault Laguna	2001 - 2007	5	04/2001
2001 - 2007	2001 - 2007		
5		5	
04/2001			04/2001
Renault Megane	ab 2008	5	11/2008
ab 2008	ab 2008		
5		5	
11/2008			11/2008
Renault Megane	ab 2014	3	06/2014
ab 2014	ab 2014		
3		3	
06/2014			06/2014
Renault Megane	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Renault Mégane	1999 - 2002	4	08/1998
1999 - 2002	1999 - 2002		
4		4	
08/1998			08/1998
Renault Mégane	2002 - 2009	5	02/2002
2002 - 2009	2002 - 2009		
5		5	
02/2002			02/2002
Renault Mégane CC	2003 - 2010	5	07/2004
2003 - 2010	2003 - 2010		
5		5	
07/2004			07/2004
Renault Modus	2004 - 2013	5	09/2004
2004 - 2013	2004 - 2013		
5		5	
09/2004			09/2004
Renault Scenic	ab 2016	5	08/2016
ab 2016	ab 2016		
5		5	
08/2016			08/2016
Renault Scénic	1999 - 2003	4	04/2001
1999 - 2003	1999 - 2003		
4		4	
04/2001			04/2001
Renault Scénic	2003 - 2009	5	12/2003
2003 - 2009	2003 - 2009		
5		5	
12/2003			12/2003
Renault Talisman	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Renault Trafic	"bgl. Opel Vivaro; Kleinbus ab 2015"	3	02/2015
"bgl. Opel Vivaro; Kleinbus ab 2015"	"bgl. Opel Vivaro; Kleinbus ab 2015"		
3		3	
02/2015			02/2015
Renault Trafic	"bgl. Opel Vivaro, Nissan Primastar; Kleinbus ab 2006"	2	12/2012
"bgl. Opel Vivaro, Nissan Primastar; Kleinbus ab 2006"	"bgl. Opel Vivaro, Nissan Primastar; Kleinbus ab 2006"		
2		2	
12/2012			12/2012
Renault Twingo	ab 2014	4	09/2014
ab 2014	ab 2014		
4		4	
09/2014			09/2014
Renault Twingo	1998 - 2007	3	07/2003
1998 - 2007	1998 - 2007		
3		3	
07/2003			07/2003
Renault Twingo	ab 2007	4	07/2007
ab 2007	ab 2007		
4		4	
07/2007			07/2007
Renault Vel Satis	2002 - 2010	5	12/2002
2002 - 2010	2002 - 2010		
5		5	
12/2002			12/2002
Renault ZOE	ab 2013	5	02/2013
ab 2013	ab 2013		
5		5	
02/2013			02/2013
Saab 9-3	1998 - 2002	4	04/2000
1998 - 2002	1998 - 2002		
4		4	
04/2000			04/2000
Saab 9-3	2002 - 2011	5	12/2002
2002 - 2011	2002 - 2011		
5		5	
12/2002			12/2002
Saab 9-3 Cabriolet	ab 2003	5	07/2004
ab 2003	ab 2003		
5		5	
07/2004			07/2004
Saab 9-5	2001 - 2005	5	07/2003
2001 - 2005	2001 - 2005		
5		5	
07/2003			07/2003
Saab 9-5	2009 - 2011	5	12/2009
2009 - 2011	2009 - 2011		
5		5	
12/2009			12/2009
Seat Altea	ab 2004	5	11/2004
ab 2004	ab 2004		
5		5	
11/2004			11/2004
Seat Ateca	ab 2016	5	06/2016
ab 2016	ab 2016		
5		5	
06/2016			06/2016
Seat Exeo	2010 - 2013	4	03/2010
2010 - 2013	2010 - 2013		
4		4	
03/2010			03/2010
Seat Ibiza	ab 2008	5	05/2008
ab 2008	ab 2008		
5		5	
05/2008			05/2008
Seat Ibiza (bis MJ 08)	2002 - 2009	4	12/2002
2002 - 2009	2002 - 2009		
4		4	
12/2002			12/2002
Seat Ibiza (ohne Beifahrer-u. Seitenairbags)	1999 - 2002	3	10/2000
1999 - 2002	1999 - 2002		
3		3	
10/2000			10/2000
Seat Leon	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Skoda Fabia	ab 2014	5	11/2014
ab 2014	ab 2014		
5		5	
11/2014			11/2014
Skoda Fabia	ab 2007	4	07/2007
ab 2007	ab 2007		
4		4	
07/2007			07/2007
Skoda Fabia	2000 - 2007	4	10/2000
2000 - 2007	2000 - 2007		
4		4	
10/2000			10/2000
Skoda Octavia	ab 2013	5	02/2013
ab 2013	ab 2013		
5		5	
02/2013			02/2013
Skoda Octavia (bis MJ 05)	1997 - 2006	4	01/2002
1997 - 2006	1997 - 2006		
4		4	
01/2002			01/2002
Skoda Rapid	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Skoda Roomster	ab 2006	5	12/2006
ab 2006	ab 2006		
5		5	
12/2006			12/2006
Skoda Superb	ab 2008	5	05/2008
ab 2008	ab 2008		
5		5	
05/2008			05/2008
Skoda Superb	2002 - 2008	4	02/2003
2002 - 2008	2002 - 2008		
4		4	
02/2003			02/2003
Skoda Superb	ab 2015	5	06/2015
ab 2015	ab 2015		
5		5	
06/2015			06/2015
Skoda Yeti	ab 2009	5	08/2009
ab 2009	ab 2009		
5		5	
08/2009			08/2009
smart forfour	ab 2014	4	12/2014
ab 2014	ab 2014		
4		4	
12/2014			12/2014
Smart fortwo	ab 2014	4	12/2014
ab 2014	ab 2014		
4		4	
12/2014			12/2014
smart ForTwo	1999 - 2007	3	03/2000
1999 - 2007	1999 - 2007		
3		3	
03/2000			03/2000
smart fortwo coupé	ab 2007	4	10/2007
ab 2007	ab 2007		
4		4	
10/2007			10/2007
SsangYong Tivoli	/ XLV ab 2016	3	11/2016
/ XLV ab 2016	/ XLV ab 2016		
3		3	
11/2016			11/2016
Subaru Forester	ab 2013	5	11/2012
ab 2013	ab 2013		
5		5	
11/2012			11/2012
Subaru Legacy	2009 - 2009	5	08/2009
2009 - 2009	2009 - 2009		
5		5	
08/2009			08/2009
Subaru Levorg	ab 2016	5	08/2016
ab 2016	ab 2016		
5		5	
08/2016			08/2016
Subaru Outback	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
Subaru XV	2011 - 2012	5	11/2011
2011 - 2012	2011 - 2012		
5		5	
11/2011			11/2011
Suzuki Baleno	ab 2016	3	04/2016
ab 2016	ab 2016		
3		3	
04/2016			04/2016
Suzuki Celerio	ab 2014	3	11/2014
ab 2014	ab 2014		
3		3	
11/2014			11/2014
Suzuki Grand Vitara	1998 - 2007	3	12/2002
1998 - 2007	1998 - 2007		
3		3	
12/2002			12/2002
Suzuki Grand Vitara	ab 2007	4	03/2007
ab 2007	ab 2007		
4		4	
03/2007			03/2007
Suzuki Ignis	ab 2017	3	11/2016
ab 2017	ab 2017		
3		3	
11/2016			11/2016
Suzuki Splash	ab 2008	4	02/2008
ab 2008	ab 2008		
4		4	
02/2008			02/2008
Suzuki Swift	ab 2010	5	08/2010
ab 2010	ab 2010		
5		5	
08/2010			08/2010
Suzuki Swift	2005 - 2010	4	03/2005
2005 - 2010	2005 - 2010		
4		4	
03/2005			03/2005
Suzuki SX4	ab 2013	5	10/2013
ab 2013	ab 2013		
5		5	
10/2013			10/2013
Suzuki SX-4	ab 2006	4	02/2006
ab 2006	ab 2006		
4		4	
02/2006			02/2006
Suzuki Vitara	ab 2015	5	04/2015
ab 2015	ab 2015		
5		5	
04/2015			04/2015
Tesla Model S	ab 2014	5	11/2014
ab 2014	ab 2014		
5		5	
11/2014			11/2014
Toyota Auris	ab 2013	5	02/2013
ab 2013	ab 2013		
5		5	
02/2013			02/2013
Toyota Auris	2006 - 2013	5	12/2006
2006 - 2013	2006 - 2013		
5		5	
12/2006			12/2006
Toyota Avensis	2003 - 2009	5	07/2003
2003 - 2009	2003 - 2009		
5		5	
07/2003			07/2003
Toyota Avensis	ab 2015	5	09/2015
ab 2015	ab 2015		
5		5	
09/2015			09/2015
Toyota Aygo	(Citroen C1,Peugeot 108 ab 2014	4	09/2014
(Citroen C1,Peugeot 108 ab 2014	(Citroen C1,Peugeot 108 ab 2014		
4		4	
09/2014			09/2014
Toyota Aygo (bgl. Citroen C1 u. Peugeot 107)	ab 2012	3	12/2012
ab 2012	ab 2012		
3		3	
12/2012			12/2012
Toyota Camry	1996 - 2001	4	10/1998
1996 - 2001	1996 - 2001		
4		4	
10/1998			10/1998
Toyota C-HR	ab 2017	5	03/2017
ab 2017	ab 2017		
5		5	
03/2017			03/2017
Toyota Corolla	1997 - 2002	3	08/1998
1997 - 2002	1997 - 2002		
3		3	
08/1998			08/1998
Toyota Corolla Lim.	ab 2013	5	08/2013
ab 2013	ab 2013		
5		5	
08/2013			08/2013
Toyota Corolla Verso	2004 - 2009	5	07/2004
2004 - 2009	2004 - 2009		
5		5	
07/2004			07/2004
Toyota Hilux	Doppelkabine ab 2016	3	08/2016
Doppelkabine ab 2016	Doppelkabine ab 2016		
3		3	
08/2016			08/2016
Toyota iQ	ab 2009	5	02/2009
ab 2009	ab 2009		
5		5	
02/2009			02/2009
Toyota Picnic	1996 - 2001	4	07/1999
1996 - 2001	1996 - 2001		
4		4	
07/1999			07/1999
Toyota Previa	2000 - 2006	4	12/2003
2000 - 2006	2000 - 2006		
4		4	
12/2003			12/2003
Toyota Prius IV	ab 2016	5	04/2016
ab 2016	ab 2016		
5		5	
04/2016			04/2016
Toyota RAV4	ab 2013	5	02/2013
ab 2013	ab 2013		
5		5	
02/2013			02/2013
Toyota RAV4	2006 - 2013	4	07/2006
2006 - 2013	2006 - 2013		
4		4	
07/2006			07/2006
Toyota Verso	ab 2009	5	02/2010
ab 2009	ab 2009		
5		5	
02/2010			02/2010
Toyota Yaris	2000 - 2005	4	10/2000
2000 - 2005	2000 - 2005		
4		4	
10/2000			10/2000
Toyota Yaris	2005 - 2011	5	10/2005
2005 - 2011	2005 - 2011		
5		5	
10/2005			10/2005
Toyota Yaris	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Volvo C30	2006 - 2012	5	01/2007
2006 - 2012	2006 - 2012		
5		5	
01/2007			01/2007
Volvo S40/V50	2004 - 2012	5	07/2004
2004 - 2012	2004 - 2012		
5		5	
07/2004			07/2004
Volvo S60	2000 - 2004	4	01/2002
2000 - 2004	2000 - 2004		
4		4	
01/2002			01/2002
Volvo S70	1997 - 2000	4	10/1998
1997 - 2000	1997 - 2000		
4		4	
10/1998			10/1998
Volvo S80	1998 - 2004	4	04/2000
1998 - 2004	1998 - 2004		
4		4	
04/2000			04/2000
Volvo S90	ab 2016	5	01/2017
ab 2016	ab 2016		
5		5	
01/2017			01/2017
Volvo V40	ab 2012	5	08/2012
ab 2012	ab 2012		
5		5	
08/2012			08/2012
Volvo V60	ab 2011	5	05/2011
ab 2011	ab 2011		
5		5	
05/2011			05/2011
Volvo V60 D6 Hybrid	2012 - 2013	5	11/2012
2012 - 2013	2012 - 2013		
5		5	
11/2012			11/2012
Volvo V70	ab 2007	5	12/2007
ab 2007	ab 2007		
5		5	
12/2007			12/2007
Volvo XC60	ab 2008	5	11/2008
ab 2008	ab 2008		
5		5	
11/2008			11/2008
Volvo XC90	2002 - 2011	5	07/2003
2002 - 2011	2002 - 2011		
5		5	
07/2003			07/2003
Volvo XC90	ab 2015	5	09/2015
ab 2015	ab 2015		
5		5	
09/2015			09/2015
VW Amarok	ab 2010	4	11/1020
ab 2010	ab 2010		
4		4	
11/1020			11/1020
VW Beetle	ab 2011	5	11/2011
ab 2011	ab 2011		
5		5	
11/2011			11/2011
VW Caddy	ab 2015	4	11/2015
ab 2015	ab 2015		
4		4	
11/2015			11/2015
VW Caddy Life	ab 2007	4	09/2007
ab 2007	ab 2007		
4		4	
09/2007			09/2007
VW Eos	ab 2006	4	01/2007
ab 2006	ab 2006		
4		4	
01/2007			01/2007
VW Fox	2005 - 2011	4	11/2005
2005 - 2011	2005 - 2011		
4		4	
11/2005			11/2005
VW Golf Cabriolet	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
VW Golf IV	1997 - 2003	4	08/1998
1997 - 2003	1997 - 2003		
4		4	
08/1998			08/1998
VW Golf Sportsvan	ab 2014	5	06/2014
ab 2014	ab 2014		
5		5	
06/2014			06/2014
VW Golf V	2003 - 2008	5	07/2004
2003 - 2008	2003 - 2008		
5		5	
07/2004			07/2004
VW Golf VI	ab 2008	5	10/2008
ab 2008	ab 2008		
5		5	
10/2008			10/2008
VW Golf VII	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
VW Jetta	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
VW Lupo	1998 - 2005	4	03/2000
1998 - 2005	1998 - 2005		
4		4	
03/2000			03/2000
VW Lupo 3L	1999 - 2005	4	01/2000
1999 - 2005	1999 - 2005		
4		4	
01/2000			01/2000
VW New Beetle	1998 - 2010	4	04/2000
1998 - 2010	1998 - 2010		
4		4	
04/2000			04/2000
VW Passat	2000 - 2005	4	08/2001
2000 - 2005	2000 - 2005		
4		4	
08/2001			08/2001
VW Passat	2005 - 2010	5	05/2005
2005 - 2010	2005 - 2010		
5		5	
05/2005			05/2005
VW Passat	ab 2010	5	11/2010
ab 2010	ab 2010		
5		5	
11/2010			11/2010
VW Passat	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
VW Polo	ab 2009	5	07/2009
ab 2009	ab 2009		
5		5	
07/2009			07/2009
VW Polo	1999 - 2001	4	10/2000
1999 - 2001	1999 - 2001		
4		4	
10/2000			10/2000
VW Polo	2001 - 2009	4	07/2002
2001 - 2009	2001 - 2009		
4		4	
07/2002			07/2002
VW Scirocco	ab 2009	5	11/2009
ab 2009	ab 2009		
5		5	
11/2009			11/2009
VW Sharan	ab 2010	5	11/2010
ab 2010	ab 2010		
5		5	
11/2010			11/2010
VW Sharan	1995 - 2010	3	07/1999
1995 - 2010	1995 - 2010		
3		3	
07/1999			07/1999
VW T5 Kombi	ab 2009	4	11/2013
ab 2009	ab 2009		
4		4	
11/2013			11/2013
VW Tiguan	ab 2016	5	06/2016
ab 2016	ab 2016		
5		5	
06/2016			06/2016
VW Tiguan	2007 - 2016	5	09/2007
2007 - 2016	2007 - 2016		
5		5	
09/2007			09/2007
VW Touareg	2002 - 2010	5	11/2004
2002 - 2010	2002 - 2010		
5		5	
11/2004			11/2004
VW Touran	2003 - 2015	5	11/2004
2003 - 2015	2003 - 2015		
5		5	
11/2004			11/2004
VW Touran	ab 2015	5	09/2015
ab 2015	ab 2015		
5		5	
09/2015			09/2015
VW up!	ab 2011	5	11/2011
ab 2011	ab 2011		
5		5	
11/2011			11/2011
